motion_state,axdt_sum,aydt_sum,azdt_sum,gxdt_sum,gydt_sum,gzdt_sum,adt_sum,gdt_sum,axdt_var,aydt_var,azdt_var,gxdt_var,gydt_var,gzdt_var,adt_var,gdt_var,axdt_min,aydt_min,azdt_min,gxdt_min,gydt_min,gzdt_min,adt_min,gdt_min,axdt_max,aydt_max,azdt_max,gxdt_max,gydt_max,gzdt_max,adt_max,gdt_max
turn,-0.23512438606005162,1.2025673944223672,9.805033655166627,-0.008680500110494904,-0.00609384549112292,0.14127395413815977,9.923672135714142,0.14767682895768913,6.342580856915787e-05,2.9443339662441357e-05,5.8029038579002815e-05,6.419834845063136e-08,1.231530897601889e-07,2.0401485582879205e-08,6.61373925529091e-05,3.223477650786868e-08,-0.022595834732055665,-0.00013281802646815776,0.07554451942443847,-0.0007031670212745666,-0.0009713435918092728,0.0010564521700143815,0.0756510572476569,0.0010828431098209939,0.010800683498382568,0.02761472702026367,0.11447319984436036,0.0004357371851801872,0.00044980593025684357,0.0016676677763462068,0.11960073506182346,0.001922455980077505
straight,-0.026123771014390514,0.7777163226529956,9.742144660949707,-0.0023331635761860525,0.006146297288942151,0.06541025957092643,9.788033846372818,0.06902813036099721,1.3282601198761563e-05,1.768700167986797e-05,3.201222817677737e-05,2.7470444590997687e-08,1.7776123241798375e-08,4.4509044038150416e-08,3.361831055681611e-05,4.499196526876945e-08,-0.009071887731552123,-0.0008792872726917267,0.0816829776763916,-0.0003555266931653023,-0.00019690413028001786,0.0002100544236600399,0.0817183338013626,0.0002174821928281087,0.008670495152473449,0.02127134084701538,0.11206526756286621,0.0005368318036198616,0.000420534648001194,0.0010976914316415786,0.113207151466863,0.0011128048500940533
straight,0.2260128750721924,0.30203719912911764,9.751724367141724,-0.010594043548471746,-0.0007467366076889449,-0.0009595996217103674,9.774176132039452,0.01896215897158845,8.679370980670048e-06,2.138539851669977e-05,5.081058742819316e-06,9.335310766769952e-09,8.576256958330147e-09,1.2671786911246085e-08,5.238491061615536e-06,5.749893306888912e-09,-0.007954984903335571,-0.007124431133270263,0.09313997268676757,-0.0004428688436746597,-0.0002347570098936558,-0.00020442437380552292,0.09321578333426596,5.977072424743887e-05,0.00837877094745636,0.014096977710723877,0.10260525703430176,9.884296916425228e-05,0.0002135453186929226,0.00030576406046748164,0.10309025329151289,0.0004760728993249672
straight,0.3953362109768204,-0.1997236224124208,9.800303268432618,0.005386582030332647,-0.0061171981268853415,-0.020001680951099842,9.818692487835122,0.027011630515945444,9.215354522257748e-06,7.308763602332416e-06,3.470733101802943e-06,9.412914111777577e-09,1.5628723915994146e-08,7.3862511723769484e-09,3.368813614296291e-06,5.849549466078697e-09,-0.004557027518749237,-0.008422617912292481,0.0934730339050293,-0.00020003225654363632,-0.000316043421626091,-0.00036677666008472443,0.09362342354838306,4.341380797065075e-05,0.013050272464752197,0.00444543868303299,0.10264074325561523,0.00028659319505095485,0.00022444488480687143,-2.6314642746001482e-05,0.10266104282666474,0.00043960791482260467
straight,0.2507476393133402,-0.7269781093113125,9.830375909805298,-0.002957194092668942,0.011384291172907979,-0.017638889946683774,9.875068295255884,0.027160805293395634,1.644926205028335e-05,1.2411550692002745e-05,9.095092820635403e-06,8.034221997844298e-09,2.13664363038851e-08,8.773200382954236e-09,8.732495679229528e-06,9.059533106576612e-09,-0.00597804069519043,-0.013576861619949341,0.09033970832824707,-0.0002215007320046425,-0.00024496253579854967,-0.0003242350369691849,0.09078559899278969,8.951247789580208e-05,0.012165474891662599,0.005373791456222534,0.10481539726257325,0.000198842603713274,0.00044166870415210727,4.592838697135449e-05,0.10499125887223268,0.00048161493190064427
straight,0.22380170139324038,-1.1681591546535492,9.763888626098632,-0.007877741790071013,-0.0044232338672736665,-0.004489720555429812,9.843675031342809,0.014633260972912787,8.113791404280051e-06,6.4707347736741954e-06,8.334889434397735e-06,5.814555023456211e-09,6.5475132599297545e-09,1.8549433864811609e-09,7.794768372331338e-06,2.8684336415948525e-09,-0.0077273744344711305,-0.01777812123298645,0.09223170280456543,-0.00023490577936172486,-0.00028673576191067695,-0.000168190635740757,0.09323896961641058,3.269953591271296e-05,0.00967444658279419,-0.005037854909896851,0.10382065773010254,0.00012704577296972276,0.00014113541692495346,5.767596419900656e-05,0.10451743409674746,0.00033170991057657884
straight,0.2724531983397901,-1.1130675286054612,9.792361917495727,0.0017412622760457452,-0.0035703545610886065,-0.0029086072201607747,9.86551826978114,0.012447505728274003,7.775437249336643e-06,4.5538088629193735e-06,4.372275205941222e-06,6.7791717250949616e-09,4.611183696379507e-09,4.14175673870603e-09,4.080436505735131e-06,2.3299932825667115e-09,-0.005115771293640137,-0.016386468410491944,0.09379995346069336,-0.00017553269863128664,-0.00024307524785399437,-0.0001536888722330332,0.09457255849584877,3.396087090525698e-05,0.008779494762420655,-0.006420717835426331,0.10268694877624512,0.000197895560413599,9.386124089360238e-05,0.00011695358902215958,0.10303802243308632,0.0002592429317119858
straight,0.23325178981554928,-0.7930971059203148,9.792158823013306,-0.0002187019804114243,0.004494558959268034,-0.004730983493500389,9.831973132562865,0.01361638464009373,6.32227899655947e-06,3.2830363543738915e-06,1.0954990476598746e-05,4.758239123116994e-09,7.236504143626865e-09,5.149015108314598e-09,1.0670220226586997e-05,2.7220578642872606e-09,-0.003372921049594879,-0.01154198169708252,0.08980398178100586,-0.0001536566484719515,-0.00017777746543288231,-0.00020885711535811424,0.09040187662295292,3.34333626676531e-05,0.007816920280456543,-0.004583161473274231,0.10550806045532227,0.0001950870640575886,0.00020558075979351998,0.00010345648042857647,0.10579013614384725,0.0002505764257198779
straight,0.2802778722764924,-0.5426951839029789,9.792975778579713,0.0011570566023044648,0.003043827030196553,-0.007037721756496467,9.815720061173856,0.012352008097785932,5.452554333371968e-06,1.4615668070002855e-06,1.8696482154108524e-05,3.938463870498301e-09,4.434741220556654e-09,3.6767286619224606e-09,1.8245757722496952e-05,2.712669757501258e-09,-0.003683730363845825,-0.009234278202056885,0.08927728652954102,-0.00012721898034214973,-0.00014906025491654874,-0.00020085273310542108,0.08989540882509654,6.391494281924129e-06,0.007564367055892945,-0.002493204027414322,0.10636076927185059,0.00013052170164883138,0.00017349397763609885,0.00011533989571034909,0.10661560695647719,0.0002624723964441581
rest,0.24262186597596155,-0.26054312946929714,9.795768661499023,-0.0012785985401569634,0.0010954890244647686,-0.0022647305105056147,9.808134225127324,0.009446781475224795,3.4036281341578536e-06,8.133448288598796e-06,7.5274996981675125e-06,4.879739630187809e-09,2.294166148229158e-09,2.5605978159444954e-09,7.381220934632079e-06,1.524628288722975e-09,-0.0010947205871343613,-0.00657497227191925,0.09374705314636231,-0.0001586863771080971,-7.944880984723567e-05,-0.0001351530384272337,0.09383232934650419,3.4210517889442085e-05,0.005813978910446167,0.0036233636736869813,0.10191247940063476,0.0001588706113398075,0.00019411886110901833,0.00010391281917691232,0.10203361819963307,0.00024269908093759284
